   8.0000000e-01   1.0622994e-03   1.5668885e-03   1.4734703e-02   1.3312345e-01   9.2012315e-02   2.1244526e-02
   8.5000000e-01   6.7723184e-04   1.4048978e-03   5.1360150e-03   1.0003717e-01   1.0902340e-01   3.2562490e-02
   9.0000000e-01   1.0047474e-03   9.1055313e-04   4.1229425e-03   6.1099561e-02   1.0822892e-01   3.8743953e-02
   9.5000000e-01   1.1577390e-03   1.0799914e-03   2.5462015e-03   3.6341722e-02   1.1204320e-01   4.8384673e-02
   1.0000000e+00   5.3470226e-04   7.1048640e-04   3.7013613e-03   2.8018813e-02   9.4233318e-02   6.4669831e-02
   1.0500000e+00   8.1173856e-04   9.5929261e-04   2.1892987e-03   1.5697780e-02   6.9663431e-02   5.0847466e-02
   1.1000000e+00   5.3876466e-04   3.6371450e-04   2.9390424e-03   1.0412141e-02   5.6722215e-02   5.1978272e-02
   1.1500000e+00   3.4096909e-04   1.0859844e-03   2.1541393e-03   9.7379552e-03   4.0980613e-02   7.4158022e-02
   1.2000000e+00   5.1152119e-04   7.4640527e-04   2.3860879e-03   8.4652314e-03   2.8956316e-02   6.2932722e-02
   1.2500000e+00   1.5008523e-03   9.5407383e-04   1.6504419e-03   4.4617853e-03   2.0805638e-02   6.0255468e-02
   1.3000000e+00   4.8974194e-04   1.0669596e-04   1.3103511e-03   5.5749419e-03   1.2785118e-02   6.8236969e-02
   1.3500000e+00   4.9852998e-04   4.4869362e-04   7.3445226e-04   3.1426056e-03   1.2645611e-02   5.7076935e-02
   1.4000000e+00   1.9908754e-04   6.1846790e-05   8.1063737e-04   1.7381477e-03   5.7357717e-03   4.3558750e-02
   1.4500000e+00   9.1912362e-05   7.3577820e-05   4.4858435e-04   5.7879153e-04   4.9776519e-03   3.3638034e-02
   1.5000000e+00   2.4861121e-05   1.5680880e-04   4.5605212e-04   4.6128893e-04   2.6418186e-03   3.1128480e-02
   1.5500000e+00   5.9884946e-06   7.9046968e-05   1.6070308e-04   1.7318504e-04   2.0827175e-03   2.5397227e-02
   1.6000000e+00   1.0179834e-04   1.5005201e-04   6.7127491e-05   3.3921831e-04   1.9503365e-03   2.6682868e-02
   1.6500000e+00   0.0000000e+00   3.0797401e-05   2.4538001e-05   1.6149530e-04   1.3129735e-03   1.0070511e-02
   1.7000000e+00   1.8358060e-05   0.0000000e+00   0.0000000e+00   4.3516875e-05   1.2374474e-03   9.0580707e-03
   1.7500000e+00   7.2955823e-06   0.0000000e+00   8.5712736e-05   0.0000000e+00   9.1288904e-04   9.1331575e-03
   1.8000000e+00   1.3211569e-04   0.0000000e+00   2.8748016e-05   1.3767426e-04   1.1439368e-03   7.6101957e-03
   1.8500000e+00   3.3810709e-05   0.0000000e+00   7.8327052e-05   1.8978475e-05   1.6731288e-04   7.3410865e-03
   1.9000000e+00   1.6776786e-04   6.5567768e-07   7.4488173e-05   5.1582700e-05   1.6173241e-05   6.6779672e-03
   1.9500000e+00   5.8541040e-05   0.0000000e+00   0.0000000e+00   0.0000000e+00   3.1669242e-04   5.9721458e-03
   2.0000000e+00   1.1766634e-04   4.1087862e-05   5.8235751e-05   1.2905903e-04   1.6575885e-04   7.6474285e-03
   2.0500000e+00   1.6686968e-04   0.0000000e+00   7.6329205e-05   7.9200034e-05   0.0000000e+00   4.4500653e-03
   2.1000000e+00   1.7450381e-06   0.0000000e+00   7.8645608e-05   2.3718376e-04   8.4177421e-05   7.5335518e-03
   2.1500000e+00   4.4553596e-05   2.0944910e-06   1.1038171e-04   0.0000000e+00   1.6365416e-04   5.2200573e-03
   2.2000000e+00   1.9685955e-04   6.6650890e-05   5.2154638e-05   5.3826222e-05   0.0000000e+00   3.4058350e-03
   2.2500000e+00   1.0903435e-04   0.0000000e+00   9.2051279e-05   1.3643912e-04   2.5447352e-04   2.3132318e-03
   2.3000000e+00   1.8339283e-04   0.0000000e+00   1.9619071e-04   6.9922945e-05   3.0374967e-04   4.2335829e-03
   2.3500000e+00   3.3851735e-05   2.8914794e-05   1.1188466e-04   7.0931144e-06   4.2213116e-05   3.5253628e-03
   2.4000000e+00   8.1206456e-05   2.7292765e-05   3.1623168e-04   0.0000000e+00   1.9254214e-06   1.6236190e-03
   2.4500000e+00   1.5801929e-04   4.2067292e-05   1.1006360e-04   5.0173942e-05   8.5176012e-05   1.2035917e-03
   2.5000000e+00   1.0727900e-04   3.6517994e-05   2.5461958e-05   3.7212798e-05   8.5865310e-06   9.2246929e-04
   2.5500000e+00   2.9881793e-04   8.6676165e-05   5.1762420e-05   5.5840564e-05   0.0000000e+00   1.1818326e-03
   2.6000000e+00   1.5062059e-04   1.2937106e-04   6.6085658e-05   1.8264645e-05   8.8330249e-05   1.4326750e-03
   2.6500000e+00   3.1557244e-05   5.9386359e-05   9.7505370e-05   0.0000000e+00   1.8669432e-05   2.5024994e-04
   2.7000000e+00   1.2334651e-04   1.1761269e-05   3.2854378e-05   2.0643075e-06   0.0000000e+00   5.0026936e-05
   2.7500000e+00   6.1196294e-05   8.7224241e-05   1.9222185e-05   0.0000000e+00   0.0000000e+00   1.8763277e-04
   2.8000000e+00   2.4653342e-05   8.4223067e-05   4.6239691e-05   4.9647808e-06   0.0000000e+00   9.9004659e-06
   2.8500000e+00   2.0792387e-04   1.4207475e-04   9.2206831e-06   0.0000000e+00   0.0000000e+00   1.6985271e-04
   2.9000000e+00   3.7231916e-05   2.2214157e-05   6.0797898e-05   0.0000000e+00   0.0000000e+00   7.0833734e-05
   2.9500000e+00   7.6587329e-05   4.6852917e-05   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.5994406e-05
   3.0000000e+00   4.0598858e-05   2.7090644e-05   3.8901216e-05   0.0000000e+00   0.0000000e+00   5.5674599e-05
   3.0500000e+00   4.9985817e-05   1.0889342e-06   0.0000000e+00   2.0048814e-05   5.3757755e-06   9.3805818e-05
